Навык,Количество,Процент
Python,5,6.02%
SQL,5,6.02%
RPA,4,4.82%
Анализ требований,3,3.61%
Автоматизация,3,3.61%
MS Excel,3,3.61%
Разработка технических заданий,3,3.61%
Постановка задач разработчикам,2,2.41%
Аналитическое мышление,2,2.41%
CustDev,2,2.41%
Управление требованиями,2,2.41%
Описание бизнес-процессов,2,2.41%
Бизнес-анализ,2,2.41%
Автоматизация бизнес-процессов,2,2.41%
Системный анализ,2,2.41%
Оптимизация бизнес-процессов,2,2.41%
Автоматизация процессов,2,2.41%
Продуктовые метрики,2,2.41%
Agile,2,2.41%
User Story,1,1.20%
Анализ бизнес-процессов,1,1.20%
Анализ данных,1,1.20%
Разработка функциональных требований,1,1.20%
A/A тесты,1,1.20%
Use case,1,1.20%
Power BI,1,1.20%
MVP,1,1.20%
1С: Предприятие 8,1,1.20%
Битрикс24,1,1.20%
1С-Битрикс,1,1.20%
Разработка пользовательской документации,1,1.20%
Разработка бизнес-требований,1,1.20%
Моделирование бизнес-процессов,1,1.20%
Системная интеграция,1,1.20%
Документирование бизнес-требований,1,1.20%
Сопровождение роботизированных процессов автоматизации,1,1.20%
Роботизация процессов,1,1.20%
PIX RPA,1,1.20%
Agile Project Management,1,1.20%
Продуктовая стратегия,1,1.20%
Управление бэклогом,1,1.20%
Управление ожиданиями,1,1.20%
Стратегическое планирование,1,1.20%
Product Led Growth,1,1.20%
Product-market fit,1,1.20%
Roadmap,1,1.20%
Анализ рынка,1,1.20%
Анализ ценообразования,1,1.20%
Разработка продуктовой концепции,1,1.20%
Управление портфелем продуктов,1,1.20%
Проверка статистических гипотез,1,1.20%
Управление бизнес процессами,1,1.20%
