Навык,Количество,Процент
Бизнес-анализ,268,6.09%
BPMN,180,4.09%
SQL,153,3.48%
Аналитическое мышление,142,3.23%
Анализ бизнес-процессов,124,2.82%
MS Excel,96,2.18%
Системный анализ,91,2.07%
Постановка задач разработчикам,82,1.86%
UML,78,1.77%
Описание бизнес-процессов,76,1.73%
Разработка технических заданий,76,1.73%
Оптимизация бизнес-процессов,74,1.68%
Автоматизация бизнес-процессов,67,1.52%
Моделирование бизнес-процессов,66,1.50%
Power BI,48,1.09%
Разработка бизнес-требований,46,1.05%
Моделирование бизнес процессов,43,0.98%
Работа с большим объемом информации,41,0.93%
Анализ данных,40,0.91%
Анализ требований,39,0.89%
Python,37,0.84%
MS Visio,34,0.77%
MS PowerPoint,31,0.70%
CRM,31,0.70%
Аналитика,30,0.68%
User Story,30,0.68%
Atlassian Confluence,29,0.66%
Управление бизнес процессами,28,0.64%
Atlassian Jira,28,0.64%
MS SQL,26,0.59%
Управление проектами,26,0.59%
Разработка пользовательской документации,25,0.57%
Стратегическое планирование,23,0.52%
Автоматизация процессов,22,0.50%
Agile,20,0.45%
1С,20,0.45%
Работа в команде,20,0.45%
REST,20,0.45%
Разработка функциональных требований,20,0.45%
Битрикс24,19,0.43%
Реинжиниринг бизнес-процессов,19,0.43%
Use case,18,0.41%
Английский язык,18,0.41%
Системное мышление,17,0.39%
EPC,17,0.39%
PostgreSQL,16,0.36%
Деловая коммуникация,16,0.36%
Figma,15,0.34%
Scrum,15,0.34%
1С: Предприятие 8,15,0.34%
XML,14,0.32%
Финансовый анализ,14,0.32%
IDEF0,14,0.32%
Работа с базами данных,14,0.32%
REST API,13,0.30%
Сбор и анализ информации,13,0.30%
Excel,13,0.30%
API,13,0.30%
Документирование бизнес-требований,13,0.30%
1С: Бухгалтерия,13,0.30%
ERP-системы на базе 1С,12,0.27%
MS Project,12,0.27%
Базы данных,12,0.27%
1C: ERP,12,0.27%
SOAP,12,0.27%
Power Query,11,0.25%
Управление командой,11,0.25%
Продуктовые метрики,11,0.25%
Организаторские навыки,11,0.25%
Математическая статистика,10,0.23%
Ориентация на результат,10,0.23%
Техническая документация,10,0.23%
Анализ бизнес показателей,10,0.23%
Обучение и развитие,10,0.23%
ERP,10,0.23%
Draw.io,10,0.23%
ETL,10,0.23%
1С: Зарплата и управление персоналом,9,0.20%
Бюджетирование,9,0.20%
Грамотная речь,9,0.20%
Подготовка презентаций,9,0.20%
Автоматизация,9,0.20%
Tableau,9,0.20%
MS Word,9,0.20%
Ведение переговоров,9,0.20%
1С: Управление Торговлей,9,0.20%
Разработка проектной документации,9,0.20%
AS IS/TO BE mapping,9,0.20%
Финансовое планирование,9,0.20%
1С: Документооборот,9,0.20%
Управление требованиями,8,0.18%
Системная интеграция,8,0.18%
Формирование аналитической отчетности,8,0.18%
JSON,8,0.18%
A/B тесты,8,0.18%
Приемочное тестирование,8,0.18%
Бизнес-моделирование,8,0.18%
Ответственность,7,0.16%
Бизнес-аналитика,7,0.16%
Clickhouse,7,0.16%
ORACLE,7,0.16%
Прогнозирование,7,0.16%
Оптимизация бизнес процессов,7,0.16%
Agile Project Management,7,0.16%
Регламентация бизнес-процессов,7,0.16%
Деловое общение,7,0.16%
МСФО,7,0.16%
Стратегическое мышление,7,0.16%
Swagger,7,0.16%
Аналитический склад ума,7,0.16%
Business Studio,7,0.16%
Деловая переписка,6,0.14%
Моделирование процессов,6,0.14%
1С-Битрикс,6,0.14%
Руководство коллективом,6,0.14%
Jira,6,0.14%
Исследовательский анализ данных,6,0.14%
Навыки презентации,6,0.14%
Разработка нефункциональных требований,6,0.14%
Miro,6,0.14%
Разработка бизнес-модели,6,0.14%
Аналитические исследования,6,0.14%
Визуализация данных,6,0.14%
JSON API,6,0.14%
Сквозная аналитика,5,0.11%
Аналитика продаж,5,0.11%
Анализ финансовых показателей,5,0.11%
Сбор требований,5,0.11%
amoCRM,5,0.11%
Greenplum,5,0.11%
Коммуникабельность,5,0.11%
Теория вероятностей,5,0.11%
Обучение персонала,5,0.11%
Финансовая отчетность,5,0.11%
E-Commerce,5,0.11%
DAX,5,0.11%
Confluence,5,0.11%
ERD,5,0.11%
Умение работать в коллективе,5,0.11%
Управленческая отчетность,5,0.11%
Проектный менеджмент,5,0.11%
Логистика,5,0.11%
Project management,5,0.11%
Управление бэклогом,5,0.11%
MS Office,5,0.11%
Стрессоустойчивость,5,0.11%
Бухгалтерский учет,5,0.11%
Waterfall,5,0.11%
Финансовое моделирование,5,0.11%
ARIS,4,0.09%
Visio,4,0.09%
Стратегический менеджмент,4,0.09%
Grafana,4,0.09%
Финансовые показатели,4,0.09%
Business Analysis,4,0.09%
Big Data,4,0.09%
UI,4,0.09%
Power Pivot,4,0.09%
UX,4,0.09%
ГОСТ 34,4,0.09%
Прогнозирование продаж,4,0.09%
VBA,4,0.09%
Макросы,4,0.09%
B2B Продажи,4,0.09%
Анализ рисков,4,0.09%
1С: Комплексная автоматизация,4,0.09%
MS SQL Server,4,0.09%
Управление продажами,4,0.09%
IT,4,0.09%
Postman,4,0.09%
Планирование,4,0.09%
Экономический анализ,4,0.09%
BI,4,0.09%
Цифровая трансформация,4,0.09%
Складская логистика,4,0.09%
Apache Airflow,4,0.09%
CJM,4,0.09%
Маркетинговая стратегия,4,0.09%
Аудит бизнес-процессов,4,0.09%
Автоматизация учета,4,0.09%
Документооборот,4,0.09%
MS Outlook,4,0.09%
1С: Управление Производственным Предприятием,4,0.09%
Финансовая стратегия,4,0.09%
Bitrix24,4,0.09%
Use Case Analysis,4,0.09%
Управление ожиданиями,4,0.09%
Грамотная письменная речь,3,0.07%
Финансовый аудит,3,0.07%
Коммуникативные навыки,3,0.07%
1С: Бухгалтерия и склад,3,0.07%
Проведение презентаций,3,0.07%
Организация работы сотрудников,3,0.07%
Camunda,3,0.07%
Маркетинговые исследования,3,0.07%
ML,3,0.07%
QlikView,3,0.07%
Unit-экономика,3,0.07%
Транспортная логистика,3,0.07%
ВПР,3,0.07%
Электронный документооборот,3,0.07%
1С: Предприятие,3,0.07%
1С: Предприятие: Бухгалтерский Учет,3,0.07%
Google Docs,3,0.07%
IDEF,3,0.07%
1С: Управление предприятием,3,0.07%
Телефонные переговоры,3,0.07%
CRM-маркетинг,3,0.07%
Kafka,3,0.07%
PHP,3,0.07%
Исполнительность,3,0.07%
Лидерство,3,0.07%
Контроль и анализ ценообразования,3,0.07%
Навыки продаж,3,0.07%
Git,3,0.07%
DWH,3,0.07%
Грамотность,3,0.07%
Оптимизация воронки продаж,3,0.07%
Business Intelligence Systems,3,0.07%
Веб-аналитика,3,0.07%
Математическое моделирование,3,0.07%
Точность и внимательность к деталям,3,0.07%
Управление организационными изменениями,3,0.07%
1C,3,0.07%
Информационные технологии,3,0.07%
MVP,3,0.07%
Стратегия управления рисками,3,0.07%
Управление рисками,3,0.07%
Конкурентная аналитика,3,0.07%
OLAP,3,0.07%
СУБД,3,0.07%
Apache Kafka,3,0.07%
Разработка ПО,3,0.07%
Ценные бумаги,3,0.07%
CustDev,3,0.07%
Ценообразование,3,0.07%
Oracle Pl/SQL,3,0.07%
Анализ ФХД,3,0.07%
Стратегия продаж,3,0.07%
Регламентированный учет,3,0.07%
MS Power BI,3,0.07%
Управленческий учет,3,0.07%
Клиентоориентированность,2,0.05%
