Навык,Количество,Процент
Деловая коммуникация,24,4.58%
Деловая переписка,22,4.20%
Организаторские навыки,17,3.24%
Заключение договоров,17,3.24%
MS Excel,13,2.48%
Управление подрядчиками,12,2.29%
Управление проектами,11,2.10%
Деловое общение,10,1.91%
Работа в команде,9,1.72%
Строительство,8,1.53%
Проектный менеджмент,8,1.53%
Управление коммуникациями,7,1.34%
Планирование бюджета,7,1.34%
Организационные навыки,7,1.34%
Управление командой,7,1.34%
Организация мероприятий,6,1.15%
Ведение проектной документации,6,1.15%
AutoCAD,6,1.15%
Работа с большим объемом информации,6,1.15%
Управление ресурсами,6,1.15%
Project management,6,1.15%
Управление конфликтами,5,0.95%
Руководство коллективом,5,0.95%
Поиск и привлечение клиентов,5,0.95%
Управление интернет-проектами,5,0.95%
Жизненный цикл проекта,5,0.95%
Документооборот,5,0.95%
Управление рисками,5,0.95%
Управленческие навыки,5,0.95%
Навыки переговоров,5,0.95%
Бизнес-анализ,5,0.95%
Сопровождение строительства,4,0.76%
Производство строительно-монтажных работ,4,0.76%
Основы управления проектами,4,0.76%
Бюджетирование,4,0.76%
Event Management,4,0.76%
Управление ожиданиями,4,0.76%
Организация корпоративных мероприятий,4,0.76%
MS PowerPoint,4,0.76%
Креативность,4,0.76%
Ведение активных клиентов,4,0.76%
Контроль выполнения задач,3,0.57%
Организация деловых встреч,3,0.57%
Организация работы сотрудников,3,0.57%
Контроль сотрудников,3,0.57%
Организация и контроль работы персонала,3,0.57%
SQL,3,0.57%
Bitrix24,3,0.57%
Навыки продаж,3,0.57%
Проведение презентаций,3,0.57%
Проектная документация,3,0.57%
Взаимодействие с надзорными организациями,3,0.57%
Проектирование,3,0.57%
Сметы,3,0.57%
Лидерство,3,0.57%
Удаленная работа,3,0.57%
Управление строительством,3,0.57%
Техническая эксплуатация,3,0.57%
организация клиентских мероприятий,3,0.57%
Электронный документооборот,3,0.57%
Google Docs,3,0.57%
Управление затратами,3,0.57%
Согласование договоров,3,0.57%
Выбор подрядных организаций,3,0.57%
Гражданское строительство,3,0.57%
Выполнение технического надзора,3,0.57%
Разработка проектной документации,3,0.57%
Коммуникативные навыки,3,0.57%
Девелопмент,3,0.57%
Консультирование клиентов,3,0.57%
Грамотная речь,3,0.57%
Проведение тендеров,2,0.38%
Стратегический менеджмент,2,0.38%
Планирование,2,0.38%
руководитель проектов,2,0.38%
Пользователь ПК,2,0.38%
Ведение переговоров,2,0.38%
Желание учиться и развиваться,2,0.38%
Тендерное сопровождение,2,0.38%
Организация культурных мероприятий,2,0.38%
Ориентация на результат,2,0.38%
Телефонные переговоры,2,0.38%
B2B Продажи,2,0.38%
Участие в Тендерах,2,0.38%
Тендеры,2,0.38%
Ведение рабочей документации,2,0.38%
Постановка задач разработчикам,2,0.38%
Подбор топ-менеджеров,2,0.38%
Ориентация на клиента,2,0.38%
Планирование ресурсов,2,0.38%
Project Expert,2,0.38%
Проектная деятельность,2,0.38%
Упаковка,2,0.38%
Делегирование,2,0.38%
Планирование маркетинговых кампаний,2,0.38%
Маркетинговые коммуникации,2,0.38%
Стрессоустойчивость,2,0.38%
Управление проектной командой,1,0.19%
Бумажный документооборот,1,0.19%
Чтение проектной документации,1,0.19%
Менеджмент проектов,1,0.19%
Выявление рисков,1,0.19%
Управление изменениями,1,0.19%
Контроль бюджета,1,0.19%
IT-проекты,1,0.19%
Протоколирование,1,0.19%
Организация совещаний,1,0.19%
Английский язык,1,0.19%
Agile,1,0.19%
BTL,1,0.19%
Разговорный английский,1,0.19%
Работа с людьми,1,0.19%
Управление временем,1,0.19%
Internet Marketing,1,0.19%
Клиентоориентированность,1,0.19%
MS Office,1,0.19%
Техническая поддержка,1,0.19%
Внутренние коммуникации,1,0.19%
Закупка материалов,1,0.19%
A/B тесты,1,0.19%
Деловые коммуникации,1,0.19%
Подготовка презентаций,1,0.19%
Разработка технических заданий,1,0.19%
Управление разработкой,1,0.19%
Sheets,1,0.19%
Битрикс24,1,0.19%
Развитие продаж,1,0.19%
1С: Торговля,1,0.19%
Исполнение личных поручений руководителя,1,0.19%
Планирование продаж,1,0.19%
Календарный план строительства,1,0.19%
Электрические системы и слаботочные системы,1,0.19%
Аутсорсинг,1,0.19%
Активные продажи,1,0.19%
Обучение и развитие,1,0.19%
Поиск персонала,1,0.19%
Стратегия управления персоналом,1,0.19%
Привлечение клиентов,1,0.19%
Управление сотрудниками в регионах,1,0.19%
1С,1,0.19%
Кадровая стратегия,1,0.19%
Системный анализ,1,0.19%
MS Project,1,0.19%
Autodesk Revit,1,0.19%
график производства работ,1,0.19%
взаимодействие с подрядчиками,1,0.19%
Интернет-реклама,1,0.19%
Электронная почта,1,0.19%
Контроль исполнения решений,1,0.19%
Формирование бюджета,1,0.19%
Составление отчетности,1,0.19%
Умение организовать работу,1,0.19%
Работа с базами данных,1,0.19%
Навыки планирования,1,0.19%
Навыки презентации,1,0.19%
Продажа комплексных проектов,1,0.19%
Подготовка коммерческих предложений,1,0.19%
Тайм-менеджмент,1,0.19%
Marketing Events,1,0.19%
Corporate Events Organization,1,0.19%
Корпоративные мероприятия,1,0.19%
Грамотность,1,0.19%
Системная интеграция,1,0.19%
Оценка потребностей клиентов,1,0.19%
Проведение переговоров,1,0.19%
Управление отношениями с клиентами,1,0.19%
Работа с ключевыми клиентами,1,0.19%
1С-Битрикс,1,0.19%
Работа с возражениями,1,0.19%
Холодные продажи,1,0.19%
Навыки ведения переговоров,1,0.19%
Ведение переписки,1,0.19%
Корпоративная этика,1,0.19%
Аналитическое мышление,1,0.19%
