Навык,Количество,Процент
Организаторские навыки,120,4.11%
Управление проектами,118,4.04%
Деловая коммуникация,94,3.22%
Деловая переписка,69,2.36%
Строительство,55,1.88%
Проектная документация,52,1.78%
Основы управления проектами,51,1.75%
Ведение переговоров,49,1.68%
Заключение договоров,48,1.64%
Планирование бюджета,47,1.61%
MS Project,42,1.44%
AutoCAD,41,1.41%
Работа в команде,40,1.37%
Управление командой,40,1.37%
Жизненный цикл проекта,38,1.30%
Проектный менеджмент,37,1.27%
Деловое общение,33,1.13%
Управление коммуникациями,29,0.99%
Управление рисками,29,0.99%
Project management,28,0.96%
Управление ресурсами,28,0.96%
Управление подрядчиками,25,0.86%
Сопровождение строительства,24,0.82%
Руководство коллективом,24,0.82%
Организация работы сотрудников,24,0.82%
Английский язык,20,0.69%
Строительный контроль,19,0.65%
Бизнес-анализ,19,0.65%
Ведение проектной документации,18,0.62%
Управление строительством,17,0.58%
B2B Продажи,17,0.58%
Навыки переговоров,15,0.51%
Scrum,14,0.48%
Аналитическое мышление,14,0.48%
Строительная документация,14,0.48%
Контроль исполнения решений,14,0.48%
Стратегический менеджмент,14,0.48%
Управление конфликтами,13,0.45%
Проведение презентаций,13,0.45%
Телефонные переговоры,13,0.45%
Разработка технических заданий,13,0.45%
Чтение чертежей,12,0.41%
Взаимодействие с субподрядными организациями,12,0.41%
Планирование строительных работ,12,0.41%
Планирование,12,0.41%
Документооборот,12,0.41%
Многозадачность,12,0.41%
Разработка проектной документации,11,0.38%
Ответственность,11,0.38%
Планирование ресурсов,11,0.38%
Разработка бизнес-требований,11,0.38%
Подготовка коммерческих предложений,11,0.38%
Производство строительно-монтажных работ,11,0.38%
Проектная деятельность,11,0.38%
Управление ожиданиями,10,0.34%
Управленческие навыки,10,0.34%
Agile Project Management,10,0.34%
Грамотная речь,10,0.34%
Подготовка презентаций,10,0.34%
Делегирование,10,0.34%
MS PowerPoint,10,0.34%
Инженерные системы,10,0.34%
Ориентация на результат,9,0.31%
Agile,9,0.31%
Поиск и привлечение клиентов,9,0.31%
Работа с большим объемом информации,9,0.31%
Стратегическое мышление,8,0.27%
Наставничество,8,0.27%
Работа в условиях многозадачности,8,0.27%
Постановка задач разработчикам,8,0.27%
Пользователь ПК,8,0.27%
Гражданское строительство,8,0.27%
Документальное сопровождение,8,0.27%
MS Excel,8,0.27%
