Навык,Количество,Процент
SQL,251,5.16%
Системный анализ,234,4.81%
BPMN,214,4.40%
UML,185,3.80%
Бизнес-анализ,120,2.47%
Постановка задач разработчикам,115,2.36%
Разработка технических заданий,97,1.99%
REST,76,1.56%
API,69,1.42%
Аналитическое мышление,66,1.36%
REST API,65,1.34%
SOAP,62,1.27%
XML,58,1.19%
JSON,54,1.11%
PostgreSQL,53,1.09%
Atlassian Jira,51,1.05%
User Story,50,1.03%
Анализ требований,47,0.97%
Apache Kafka,41,0.84%
Atlassian Confluence,38,0.78%
Моделирование бизнес процессов,36,0.74%
Python,35,0.72%
Agile,35,0.72%
Use case,33,0.68%
Scrum,32,0.66%
Работа с большим объемом информации,31,0.64%
JSON API,30,0.62%
Аналитика,30,0.62%
Системная интеграция,30,0.62%
Postman,27,0.55%
MS Excel,26,0.53%
Разработка пользовательской документации,26,0.53%
Деловая коммуникация,26,0.53%
1С,26,0.53%
Моделирование бизнес-процессов,25,0.51%
Swagger,24,0.49%
Системное мышление,24,0.49%
Разработка бизнес-требований,24,0.49%
Микросервисная архитектура,24,0.49%
Управление проектами,24,0.49%
Анализ данных,23,0.47%
RabbitMQ,23,0.47%
Разработка функциональных требований,22,0.45%
1С программирование,21,0.43%
Работа в команде,20,0.41%
MS SQL,19,0.39%
Linux,19,0.39%
Оптимизация бизнес-процессов,18,0.37%
JavaScript,18,0.37%
Работа с базами данных,18,0.37%
Базы данных,17,0.35%
Разработка ПО,17,0.35%
Организаторские навыки,16,0.33%
Техническая документация,16,0.33%
MS Visio,16,0.33%
СУБД,16,0.33%
Xsd,15,0.31%
1C: ERP,15,0.31%
Документирование бизнес-требований,15,0.31%
Figma,14,0.29%
PlantUML,14,0.29%
Java,14,0.29%
Git,14,0.29%
ORACLE,14,0.29%
1С: Управление Торговлей,14,0.29%
Сбор и анализ информации,14,0.29%
DWH,13,0.27%
Обучение и развитие,13,0.27%
ERP-системы на базе 1С,12,0.25%
1С: Предприятие 8,12,0.25%
Клиентоориентированность,12,0.25%
Разработка нефункциональных требований,12,0.25%
Функциональное тестирование,12,0.25%
Управление командой,12,0.25%
1С: Зарплата и управление персоналом,12,0.25%
QA,11,0.23%
1С: Документооборот,11,0.23%
1С: Бухгалтерия,11,0.23%
Сбор требований,11,0.23%
Автоматизация бизнес-процессов,10,0.21%
Менеджмент,10,0.21%
Анализ бизнес-процессов,10,0.21%
Power BI,10,0.21%
Miro,9,0.18%
Разработка инструкций,9,0.18%
Деловое общение,9,0.18%
IDEF0,9,0.18%
Kafka,9,0.18%
ETL,9,0.18%
Agile Project Management,9,0.18%
HTTP,9,0.18%
Docker,9,0.18%
Draw.io,9,0.18%
CRM,8,0.16%
Управление бэклогом,8,0.16%
Информационные технологии,8,0.16%
MS Project,8,0.16%
Телефонные переговоры,8,0.16%
Системный подход,8,0.16%
Деловая переписка,8,0.16%
Clickhouse,8,0.16%
Kanban,8,0.16%
Ведение переговоров,8,0.16%
Ориентация на результат,8,0.16%
Описание бизнес-процессов,8,0.16%
Аналитический склад ума,7,0.14%
MySQL,7,0.14%
Консультирование клиентов,7,0.14%
Сопровождение клиентов,7,0.14%
Проведение тестирований,7,0.14%
Greenplum,7,0.14%
Рефакторинг кода,7,0.14%
1С: Предприятие 8.3,7,0.14%
Ответственность,7,0.14%
Битрикс24,7,0.14%
Грамотная речь,6,0.12%
Управление требованиями,6,0.12%
CI/CD,6,0.12%
Confluence,6,0.12%
Kubernetes,6,0.12%
ERP,6,0.12%
Английский язык,6,0.12%
Навыки презентации,6,0.12%
ITSM,6,0.12%
Маркетинговые коммуникации,6,0.12%
Use Case Analysis,6,0.12%
Автоматизация процессов,6,0.12%
Маркетинговая стратегия,6,0.12%
1С: Предприятие,6,0.12%
Информационная безопасность,6,0.12%
Анализ конкурентной среды,5,0.10%
Анализ эффективности маркетинговых кампаний,5,0.10%
Разработка маркетинговых кампаний,5,0.10%
ГОСТ 34,5,0.10%
Техническая поддержка,5,0.10%
Грамотная устная речь,5,0.10%
MS Office,5,0.10%
Управление ресурсами,5,0.10%
Jira,5,0.10%
Продвижение бренда,5,0.10%
Исполнительность,5,0.10%
Умение работать в коллективе,5,0.10%
SOA,5,0.10%
Интернет-реклама,5,0.10%
UX,5,0.10%
1С: Комплексная автоматизация,5,0.10%
Big Data,5,0.10%
Автоматизация,5,0.10%
MS PowerPoint,5,0.10%
Hadoop,5,0.10%
Разработка проектной документации,5,0.10%
Техническое задание,5,0.10%
ArchiMate,5,0.10%
1С: Управление Производственным Предприятием,5,0.10%
Приемочное тестирование,5,0.10%
Оптимизация бизнес процессов,5,0.10%
Написание технических заданий,5,0.10%
MQ,5,0.10%
Camunda,5,0.10%
IDEF,5,0.10%
Написание инструкций,5,0.10%
Аналитические исследования,5,0.10%
ERD,4,0.08%
Управление бизнес процессами,4,0.08%
Работа с обращениями,4,0.08%
Казначейство,4,0.08%
Сквозная аналитика,4,0.08%
C#,4,0.08%
B2B Продажи,4,0.08%
Планирование продаж,4,0.08%
Разработка в клиент-серверном варианте,4,0.08%
Умение анализировать чужой код,4,0.08%
Опыт работы с http/web-сервисами,4,0.08%
ГОСТ,4,0.08%
1С франчайзи,4,0.08%
Точность и внимательность к деталям,4,0.08%
Подбор персонала,4,0.08%
Обновление конфигурации 1С,4,0.08%
Бизнес-моделирование,4,0.08%
Ведение проектной документации,4,0.08%
Разработка технической документации,4,0.08%
AS IS/TO BE mapping,4,0.08%
Waterfall,4,0.08%
OpenAPI,4,0.08%
Руководство коллективом,4,0.08%
1С-Битрикс,4,0.08%
Grafana,4,0.08%
Oracle Pl/SQL,4,0.08%
Формирование аналитической отчетности,4,0.08%
IT,4,0.08%
kafka,4,0.08%
Business Analysis,4,0.08%
Мониторинг рынка,4,0.08%
PHP,4,0.08%
Грамотность,4,0.08%
1С: Управление холдингом,4,0.08%
GraphQL,4,0.08%
Android,4,0.08%
UI,4,0.08%
Elasticsearch,4,0.08%
Angular,3,0.06%
SoapUI,3,0.06%
1С: ЗУП 3.1,3,0.06%
1С: ЗУП 2.5,3,0.06%
Маркетинговый анализ,3,0.06%
Управление продажами,3,0.06%
аналитика,3,0.06%
Организационные навыки,3,0.06%
Расстановка приоритетов,3,0.06%
Мотивация персонала,3,0.06%
Redmine,3,0.06%
Анализ воронки продаж,3,0.06%
Разработка бизнес-модели,3,0.06%
Умение работать в условиях многозадачности,3,0.06%
Формирование технического задания для разработки,3,0.06%
Запуск маркетинговых кампаний,3,0.06%
Лидерство,3,0.06%
Обучение персонала,3,0.06%
База данных: Oracle,3,0.06%
Аналитика продаж,3,0.06%
Построение воронки продаж,3,0.06%
Выявление потребностей,3,0.06%
React,3,0.06%
Анализ рынка,3,0.06%
Работа с клиентами,3,0.06%
Olap (online analytical processing),3,0.06%
Автоматизация маркетинговых кампаний,3,0.06%
Ценообразование,3,0.06%
Разработка на платформе «1С: Предприятие 8.3»,3,0.06%
Сопровождение 1С: ЗУП,3,0.06%
ООП,3,0.06%
Развитие 1С: ЗУП,3,0.06%
SEO-тексты,3,0.06%
Оптимизация кода,3,0.06%
ML,3,0.06%
NoSQL,3,0.06%
1С: Розница,3,0.06%
Golang,3,0.06%
ГОСТ 19,3,0.06%
amoCRM,3,0.06%
Контекстная реклама,3,0.06%
Исследовательский анализ данных,3,0.06%
Яндекс.Директ,3,0.06%
WMS,3,0.06%
БИТ.ФИНАНС,3,0.06%
EPC,3,0.06%
Kotlin,3,0.06%
Управление ожиданиями,3,0.06%
MongoDB,3,0.06%
Specifications,3,0.06%
Управление отношениями с клиентами,3,0.06%
DDD,3,0.06%
Visio,3,0.06%
MS SQL Server,3,0.06%
Стрессоустойчивость,3,0.06%
TCP/IP,3,0.06%
Высшее образование,3,0.06%
Оценка потребностей клиентов,3,0.06%
Разработка регламентов,3,0.06%
iOS,3,0.06%
Системный аналитик,3,0.06%
Разработка проектных документов,3,0.06%
Знание информационной системы 1С УНФ,3,0.06%
System Analysis,3,0.06%
Анализ бизнес показателей,3,0.06%
HTML,3,0.06%
Заключение договоров,2,0.04%
Учет остатков,2,0.04%
WEB аналитика,2,0.04%
написание документации,2,0.04%
CRM-маркетинг,2,0.04%
работа с бизнес заказчиками и пользователями,2,0.04%
PCI DSS,2,0.04%
работа с разработчиками и тестировщиками,2,0.04%
Zabbix,2,0.04%
формилирование бизнес требований,2,0.04%
Работа с системами аналитики,2,0.04%
Нормативно-техническая документация,2,0.04%
Бизнес-планирование,2,0.04%
Навыки переговоров,2,0.04%
Управление интернет-проектами,2,0.04%
HTML5,2,0.04%
Организация мероприятий,2,0.04%
Project management,2,0.04%
Хранилища данных,2,0.04%
Проведение презентаций,2,0.04%
Работа с требованиями,2,0.04%
MDM,2,0.04%
Транспортная логистика,2,0.04%
Складская логистика,2,0.04%
Оптимизация логистических процессов,2,0.04%
Математическая статистика,2,0.04%
1C: Зарплата и кадры,2,0.04%
ЦФТ-Банк,2,0.04%
Написание ТЗ,2,0.04%
SaaS,2,0.04%
Roadmap,2,0.04%
Tableau,2,0.04%
SDLC,2,0.04%
Spark,2,0.04%
BPM,2,0.04%
Проектная деятельность,2,0.04%
Коммуникабельность,2,0.04%
gRPC,2,0.04%
ITIL,2,0.04%
1С ERP,2,0.04%
1C УХ,2,0.04%
Умение работать с большим объемом информации,2,0.04%
WSDL,2,0.04%
системный аналитик,2,0.04%
User Story Mapping,2,0.04%
Управление временем,2,0.04%
SmartVista,2,0.04%
Интеграционное тестирование,2,0.04%
Тестирование,2,0.04%
1С: Предприятие: Бухгалтерский Учет,2,0.04%
Redis,2,0.04%
СБП,2,0.04%
Стратегическое планирование,2,0.04%
Gitlab,2,0.04%
Логистика,2,0.04%
ЭДО,2,0.04%
Bash,2,0.04%
Excel,2,0.04%
Data Analysis,2,0.04%
pandas,2,0.04%
SQL запросы,2,0.04%
C4,2,0.04%
OpenWay Way4,2,0.04%
1С: Зарплата и кадры,2,0.04%
Аналитик 1С,2,0.04%
CSS,2,0.04%
Bitrix24,2,0.04%
