Навык,Количество,Процент
Финансовый анализ,36,6.78%
Финансовая отчетность,32,6.03%
Управленческая отчетность,27,5.08%
Финансовое планирование,23,4.33%
Финансовый контроль,21,3.95%
Бюджетирование,19,3.58%
MS Excel,17,3.20%
Формирование аналитической отчетности,16,3.01%
Финансовый менеджмент,14,2.64%
Аналитическое мышление,14,2.64%
Финансовые показатели,11,2.07%
Планирование бюджета,11,2.07%
Контроль бюджета,10,1.88%
Отчет о финансовых результатах,10,1.88%
Управленческий учет,10,1.88%
Финансовое моделирование,10,1.88%
План-факт анализ,9,1.69%
Финансовый аудит,9,1.69%
Основы финансового менеджмента,8,1.51%
Экономический анализ,8,1.51%
Финансовая стратегия,7,1.32%
Управление денежными средствами,7,1.32%
Английский язык,6,1.13%
Бухгалтерский учет,6,1.13%
Оптимизация затрат,6,1.13%
Работа с большим объемом информации,6,1.13%
Управление бюджетом,5,0.94%
Управление затратами,5,0.94%
Анализ финансовых показателей,5,0.94%
Анализ рисков,4,0.75%
Анализ данных,4,0.75%
Планирование затрат,4,0.75%
Оптимизация налогообложения,4,0.75%
Налоговый учет,4,0.75%
МСФО,4,0.75%
MS PowerPoint,4,0.75%
Бюджетирование ФОТ,3,0.56%
Управление налоговыми рисками,3,0.56%
1С: Бухгалтерия,3,0.56%
Бухгалтерская отчетность,3,0.56%
Отчет о движении денежных средств,3,0.56%
Деловая переписка,2,0.38%
MS SQL,2,0.38%
Контроль выполнения задач,2,0.38%
Налоговое планирование,2,0.38%
РСБУ,2,0.38%
Системное тестирование,2,0.38%
Фондовый рынок,2,0.38%
брокерская деятельность,2,0.38%
Инвестиционная деятельность,2,0.38%
Системная интеграция,2,0.38%
Разработка технических заданий,2,0.38%
дилерская деятельность,2,0.38%
Ответственность,2,0.38%
Стрессоустойчивость,2,0.38%
Коммуникабельность,2,0.38%
Управление рисками,2,0.38%
Стратегия управления рисками,2,0.38%
Стратегическое планирование,2,0.38%
Постановка задач разработчикам,2,0.38%
Автоматизация бизнес-процессов,2,0.38%
Информационные технологии,2,0.38%
Автоматизация процессов,2,0.38%
Power BI,2,0.38%
Отчет о прибылях и убытках,2,0.38%
Экономическое обоснование,2,0.38%
План-фактный анализ бюджета,2,0.38%
Факторный анализ,2,0.38%
Анализ текущих финансовых показателей,2,0.38%
SQL,2,0.38%
VBA,2,0.38%
Ценные бумаги,2,0.38%
Деловая коммуникация,2,0.38%
Статистическая отчетность,2,0.38%
Сводные таблицы,1,0.19%
1С: Предприятие 8,1,0.19%
1С: Предприятие: Бухгалтерский Учет,1,0.19%
Работа в команде,1,0.19%
Хранение документов,1,0.19%
Планирование,1,0.19%
Антикризисное управление,1,0.19%
Сбор и обработка документов,1,0.19%
1 С,1,0.19%
Документальное сопровождение,1,0.19%
Электронный документооборот,1,0.19%
Умение эффективно работать в режиме многозадачности,1,0.19%
Ориентация на результат,1,0.19%
IFRS,1,0.19%
Валютные платежи,1,0.19%
Управление продажами,1,0.19%
Ведение переговоров,1,0.19%
Первичная документация,1,0.19%
1C: ERP,1,0.19%
Навыки продаж,1,0.19%
Расчет заработной платы,1,0.19%
Работа с юридическими лицами,1,0.19%
Аналитика,1,0.19%
Консолидация финансовой отчетности,1,0.19%
Международные платежные системы,1,0.19%
Финансы,1,0.19%
Оценка рисков,1,0.19%
Управление бухгалтерией,1,0.19%
Контроль ведения налоговой отчетности,1,0.19%
Подготовка презентаций,1,0.19%
Движение денежных средств,1,0.19%
Управление финансами,1,0.19%
Анализ бизнес показателей,1,0.19%
Составление бизнес-плана,1,0.19%
Основы бухгалтерского учета,1,0.19%
Финансовое право,1,0.19%
Портфельный анализ,1,0.19%
Формирование управленческой отчетности,1,0.19%
Анализ ФХД,1,0.19%
Анализ бизнес-процессов,1,0.19%
Исполнение бюджетов,1,0.19%
ERP,1,0.19%
ERP-системы на базе 1С,1,0.19%
Формирование бюджета,1,0.19%
Автоматизация управленческой отчетности,1,0.19%
ОСНО,1,0.19%
"Контроль эффективного использования материальных, финансовых, технических и трудовых ресурсов",1,0.19%
Управление ресурсами,1,0.19%
Внутренний контроль,1,0.19%
Учет платежей,1,0.19%
Управление платежами,1,0.19%
Контроль кредиторской задолженности,1,0.19%
Контроль дебиторской задолженности,1,0.19%
Управление инвестициями,1,0.19%
