Навык,Количество,Процент
SQL,7,6.31%
Разработка технических заданий,4,3.60%
Python,4,3.60%
Аналитическое мышление,3,2.70%
Анализ бизнес-процессов,3,2.70%
Постановка задач разработчикам,2,1.80%
Agile,2,1.80%
Анализ требований,2,1.80%
Описание бизнес-процессов,2,1.80%
Power BI,2,1.80%
Автоматизация бизнес-процессов,2,1.80%
PostgreSQL,2,1.80%
RPA,2,1.80%
B2B Продажи,2,1.80%
Системный анализ,2,1.80%
Use case,1,0.90%
Разработка функциональных требований,1,0.90%
Управление требованиями,1,0.90%
A/A тесты,1,0.90%
CustDev,1,0.90%
User Story,1,0.90%
MVP,1,0.90%
Бизнес-анализ,1,0.90%
Анализ данных,1,0.90%
Продуктовые метрики,1,0.90%
Java,1,0.90%
1С: Предприятие 8,1,0.90%
Оптимизация бизнес-процессов,1,0.90%
Автоматизация процессов,1,0.90%
1С-Битрикс,1,0.90%
MS Excel,1,0.90%
Автоматизация,1,0.90%
FAQ,1,0.90%
Регламентация бизнес-процессов,1,0.90%
Стратегия управления рисками,1,0.90%
Разработка бизнес-модели,1,0.90%
Битрикс24,1,0.90%
Бизнес-моделирование,1,0.90%
1C: ERP,1,0.90%
консалтинг,1,0.90%
Управленческое консультирование,1,0.90%
аналитика,1,0.90%
Телефонные переговоры,1,0.90%
Заключение договоров,1,0.90%
Тестирование,1,0.90%
QA,1,0.90%
Test case,1,0.90%
Проведение тестирований,1,0.90%
API,1,0.90%
Postman,1,0.90%
.NET Framework,1,0.90%
C#,1,0.90%
ASP.NET Core,1,0.90%
.NET Core,1,0.90%
React,1,0.90%
ООП,1,0.90%
ORM,1,0.90%
СУБД,1,0.90%
Clickhouse,1,0.90%
Git,1,0.90%
Unit Testing,1,0.90%
Яндекс.Метрика,1,0.90%
Веб-аналитика,1,0.90%
SEO,1,0.90%
SEO оптимизация,1,0.90%
Google Ads,1,0.90%
Яндекс.Директ,1,0.90%
Маркетинговые метрики,1,0.90%
Интернет-маркетинг,1,0.90%
Внешняя оптимизация сайта,1,0.90%
Google Analytics,1,0.90%
SEO-тексты,1,0.90%
Партнерская сеть,1,0.90%
Партнеры,1,0.90%
Scrum,1,0.90%
Atlassian Jira,1,0.90%
Agile Project Management,1,0.90%
Atlassian Confluence,1,0.90%
ARIS,1,0.90%
MS SQL,1,0.90%
Waterfall,1,0.90%
Руководство IT проектами,1,0.90%
Проектная документация,1,0.90%
Внедрение бизнес-приложений,1,0.90%
Jira,1,0.90%
