Навык,Количество,Процент
Бизнес-анализ,165,6.24%
Аналитическое мышление,99,3.74%
BPMN,96,3.63%
SQL,89,3.37%
Анализ бизнес-процессов,76,2.87%
Системный анализ,56,2.12%
MS Excel,55,2.08%
Оптимизация бизнес-процессов,55,2.08%
Разработка технических заданий,50,1.89%
Постановка задач разработчикам,49,1.85%
Описание бизнес-процессов,46,1.74%
UML,41,1.55%
Моделирование бизнес-процессов,39,1.48%
Автоматизация бизнес-процессов,39,1.48%
Анализ данных,31,1.17%
Power BI,30,1.13%
Моделирование бизнес процессов,27,1.02%
Работа с большим объемом информации,24,0.91%
Разработка бизнес-требований,23,0.87%
MS PowerPoint,23,0.87%
Python,22,0.83%
Анализ требований,22,0.83%
CRM,22,0.83%
Аналитика,19,0.72%
User Story,19,0.72%
Битрикс24,18,0.68%
Управление проектами,17,0.64%
Стратегическое планирование,17,0.64%
Управление бизнес процессами,16,0.61%
Atlassian Confluence,16,0.61%
1С,16,0.61%
MS Visio,15,0.57%
Разработка пользовательской документации,15,0.57%
MS SQL,14,0.53%
Atlassian Jira,13,0.49%
Agile,12,0.45%
Сбор и анализ информации,12,0.45%
IDEF0,12,0.45%
Системное мышление,12,0.45%
Работа в команде,12,0.45%
1C: ERP,11,0.42%
Реинжиниринг бизнес-процессов,11,0.42%
Ведение переговоров,11,0.42%
Деловая коммуникация,11,0.42%
REST,10,0.38%
Бизнес-моделирование,10,0.38%
Разработка функциональных требований,10,0.38%
Подготовка презентаций,10,0.38%
EPC,10,0.38%
Работа с базами данных,10,0.38%
Автоматизация процессов,10,0.38%
Figma,9,0.34%
Английский язык,9,0.34%
Аналитические исследования,9,0.34%
Scrum,9,0.34%
API,9,0.34%
XML,9,0.34%
ERP-системы на базе 1С,8,0.30%
JSON,8,0.30%
Документирование бизнес-требований,8,0.30%
1С: Предприятие 8,8,0.30%
1С: Бухгалтерия,7,0.26%
Техническая документация,7,0.26%
Деловое общение,7,0.26%
MS Word,7,0.26%
Управление требованиями,7,0.26%
Use case,7,0.26%
Системная интеграция,7,0.26%
REST API,7,0.26%
Грамотная речь,7,0.26%
Базы данных,7,0.26%
Excel,7,0.26%
Обучение и развитие,7,0.26%
1С: Управление Торговлей,7,0.26%
Управление командой,6,0.23%
Организаторские навыки,6,0.23%
Business Studio,6,0.23%
PostgreSQL,6,0.23%
Моделирование процессов,6,0.23%
amoCRM,6,0.23%
Деловая переписка,6,0.23%
Аналитический склад ума,6,0.23%
AS IS/TO BE mapping,6,0.23%
SOAP,5,0.19%
Ориентация на результат,5,0.19%
Продуктовые метрики,5,0.19%
Miro,5,0.19%
Стратегическое мышление,5,0.19%
Формирование аналитической отчетности,5,0.19%
