Навык,Количество,Процент
SQL,182,6.00%
Системный анализ,180,5.94%
BPMN,161,5.31%
UML,141,4.65%
Бизнес-анализ,82,2.70%
Постановка задач разработчикам,76,2.51%
Разработка технических заданий,63,2.08%
REST,58,1.91%
SOAP,55,1.81%
API,54,1.78%
Аналитическое мышление,53,1.75%
XML,48,1.58%
REST API,42,1.39%
JSON,41,1.35%
Atlassian Jira,36,1.19%
PostgreSQL,35,1.15%
User Story,33,1.09%
Atlassian Confluence,29,0.96%
Анализ требований,29,0.96%
Use case,24,0.79%
Системная интеграция,24,0.79%
Apache Kafka,24,0.79%
Scrum,23,0.76%
Работа с большим объемом информации,22,0.73%
Agile,22,0.73%
MS SQL,22,0.73%
Python,21,0.69%
Моделирование бизнес процессов,21,0.69%
JSON API,20,0.66%
Аналитика,19,0.63%
Анализ данных,19,0.63%
Разработка пользовательской документации,18,0.59%
Оптимизация бизнес-процессов,18,0.59%
Разработка функциональных требований,18,0.59%
Postman,17,0.56%
Микросервисная архитектура,15,0.49%
Работа с базами данных,14,0.46%
MS Excel,14,0.46%
RabbitMQ,14,0.46%
Базы данных,14,0.46%
Разработка бизнес-требований,14,0.46%
Моделирование бизнес-процессов,13,0.43%
Figma,13,0.43%
Техническая документация,13,0.43%
JavaScript,13,0.43%
Деловая коммуникация,12,0.40%
Системное мышление,12,0.40%
1С,12,0.40%
СУБД,12,0.40%
HTTP,12,0.40%
Linux,11,0.36%
Сбор и анализ информации,11,0.36%
MS Visio,10,0.33%
Документирование бизнес-требований,10,0.33%
Описание бизнес-процессов,9,0.30%
Разработка ПО,9,0.30%
Анализ бизнес-процессов,9,0.30%
Swagger,9,0.30%
Xsd,9,0.30%
1С: Зарплата и управление персоналом,8,0.26%
Управление проектами,8,0.26%
Разработка нефункциональных требований,8,0.26%
1С программирование,8,0.26%
Обучение и развитие,7,0.23%
ERD,7,0.23%
Точность и внимательность к деталям,7,0.23%
ETL,7,0.23%
Разработка инструкций,7,0.23%
Информационные технологии,7,0.23%
QA,7,0.23%
Автоматизация бизнес-процессов,7,0.23%
Работа в команде,7,0.23%
HTML,7,0.23%
Сбор требований,7,0.23%
Power BI,7,0.23%
Организаторские навыки,7,0.23%
1С: Управление Торговлей,7,0.23%
Git,7,0.23%
Функциональное тестирование,7,0.23%
Системный подход,7,0.23%
1С: Документооборот,6,0.20%
Clickhouse,6,0.20%
Техническое задание,6,0.20%
PlantUML,6,0.20%
Менеджмент,6,0.20%
1С: Предприятие 8,6,0.20%
Use Case Analysis,6,0.20%
DWH,6,0.20%
Kafka,6,0.20%
Java,6,0.20%
Деловое общение,6,0.20%
Аналитический склад ума,5,0.16%
Разработка проектной документации,5,0.16%
Умение работать в коллективе,5,0.16%
Agile Project Management,5,0.16%
Исполнительность,5,0.16%
Ответственность,5,0.16%
Miro,5,0.16%
Jira,5,0.16%
Управление требованиями,5,0.16%
IDEF0,5,0.16%
ERP-системы на базе 1С,5,0.16%
Ориентация на результат,5,0.16%
1C: ERP,5,0.16%
Camunda,5,0.16%
Управление командой,5,0.16%
