Навык,Количество,Процент
Финансовый анализ,329,8.17%
Финансовая отчетность,166,4.12%
Бюджетирование,147,3.65%
Финансовый контроль,136,3.38%
Финансовое планирование,126,3.13%
Управленческая отчетность,119,2.96%
MS Excel,106,2.63%
Экономический анализ,88,2.19%
Финансовый менеджмент,86,2.14%
Аналитическое мышление,85,2.11%
Формирование аналитической отчетности,76,1.89%
Финансовые показатели,71,1.76%
Финансовое моделирование,71,1.76%
Анализ финансовых показателей,60,1.49%
Работа с большим объемом информации,59,1.47%
Планирование бюджета,59,1.47%
План-факт анализ,46,1.14%
Финансовая стратегия,45,1.12%
Финансовый аудит,45,1.12%
Управленческий учет,44,1.09%
Отчет о финансовых результатах,44,1.09%
Контроль бюджета,36,0.89%
Планирование затрат,32,0.79%
Анализ текущих финансовых показателей,31,0.77%
Управление денежными средствами,30,0.75%
Оптимизация затрат,29,0.72%
Отчет о движении денежных средств,29,0.72%
Основы финансового менеджмента,27,0.67%
Бухгалтерская отчетность,27,0.67%
MS PowerPoint,26,0.65%
Управление бюджетом,25,0.62%
Управление затратами,23,0.57%
1С: Бухгалтерия,22,0.55%
Бухгалтерский учет,22,0.55%
Основы бухгалтерского учета,21,0.52%
Экономическое обоснование,20,0.50%
МСФО,20,0.50%
1С: Предприятие 8,19,0.47%
Налоговое планирование,19,0.47%
Формирование бюджета,18,0.45%
План-фактный анализ бюджета,16,0.40%
Английский язык,15,0.37%
Стратегическое планирование,15,0.37%
Анализ рисков,14,0.35%
SQL,14,0.35%
Оптимизация налогообложения,14,0.35%
Анализ инвестиционных проектов,14,0.35%
Управление налоговыми рисками,13,0.32%
Работа в команде,13,0.32%
Факторный анализ,13,0.32%
Управление бухгалтерией,13,0.32%
Анализ ФХД,13,0.32%
Электронный документооборот,13,0.32%
Инвестиционный анализ,12,0.30%
Анализ данных,12,0.30%
Деловая переписка,11,0.27%
Управление рисками,11,0.27%
Первичная бухгалтерская документация,11,0.27%
Консолидация финансовой отчетности,11,0.27%
Подготовка презентаций,11,0.27%
Деловая коммуникация,10,0.25%
РСБУ,10,0.25%
Аналитический склад ума,10,0.25%
Ответственность,10,0.25%
Деловое общение,10,0.25%
Управление финансами,10,0.25%
Планирование,10,0.25%
1С,10,0.25%
Power BI,10,0.25%
Корпоративные финансы,10,0.25%
Первичная документация,9,0.22%
Платежные поручения,9,0.22%
Оптимизация бизнес-процессов,9,0.22%
Финансовое право,9,0.22%
Бюджетирование ФОТ,9,0.22%
Ведение переговоров,8,0.20%
Бизнес-планирование,8,0.20%
Бизнес-анализ,8,0.20%
Статистическая отчетность,8,0.20%
Инвестиционное планирование,8,0.20%
Power Query,8,0.20%
Расчет налогов,8,0.20%
"Контроль эффективного использования материальных, финансовых, технических и трудовых ресурсов",8,0.20%
Стратегия управления рисками,7,0.17%
Стратегическое мышление,7,0.17%
MS Office,7,0.17%
Анализ бизнес показателей,7,0.17%
1С: Документооборот,7,0.17%
Банк-клиент,7,0.17%
Ценообразование,7,0.17%
Бухгалтерский баланс,7,0.17%
Внутренний контроль,7,0.17%
Отчетность в ФНС,7,0.17%
Расчет заработной платы,7,0.17%
Работа с юридическими лицами,7,0.17%
Отчет о прибылях и убытках,6,0.15%
Налоговый кодекс РФ,6,0.15%
Управление ресурсами,6,0.15%
Пользователь ПК,6,0.15%
Обучение и развитие,6,0.15%
1C: ERP,6,0.15%
Управление активами,6,0.15%
Внимательность,6,0.15%
Анализ бизнес-процессов,6,0.15%
Налоговая отчетность,6,0.15%
Excel,6,0.15%
Подготовка управленческой отчетности,5,0.12%
Оценка инвестиционных проектов,5,0.12%
Формирование управленческой отчетности,5,0.12%
Контроль кредиторской задолженности,5,0.12%
БДДС,5,0.12%
Cash Flow,5,0.12%
Кредитные договоры,5,0.12%
Долгосрочное бюджетирование и планирование,5,0.12%
БДР,5,0.12%
Валютный контроль,5,0.12%
